detainer_detention_facility,county,city,state,uniqueid
1ST CHOICE INNS,Garfield County,GLENWOOD SPRINGS,CO,d1
ABBEVILLE COUNTY DET CENTER,Abbeville County,ABBEVILLE,SC,d2
ABBOTT HOME,Westchester County,IRVINGTON,NY,d3
ABERDEEN CITY JAIL,Grays Harbor County,ABERDEEN,WA,d4
ABILENE HOLD ROOM,Taylor County,ABILENE,TX,d5
ABRAXAS-H GARCIA CENTER,Bexar County,SAN ANTONIO,TX,d6
ACADIA PARISH DET. CENTER,Acadia Parish,CROWLEY,LA,d7
ACCOMACK COUNTY JAIL,Accomack County,ACCOMAC,VA,d8
"ACI, CRANSTON RI",Providence County,CRANSTON,RI,d9
ACWORTH POLICE DEPT.,Cobb County,ACWORTH,GA,d10
ADA COUNTY JAIL,Ada County,BOISE,ID,d11
ADAIR COUNTY REGIONAL JAIL,Adair County,COLUMBIA,KY,d12
ADAIR COUNTY SHERIFF/JAIL,Adair County,STILWELL,OK,d13
"ADAMS CO JAIL, NEBRASKA",Adams County,HASTINGS,NE,d14
ADAMS COUNTY,Adams County,RITZVILLE,WA,d15
ADAMS COUNTY ADULT C.C.,Adams County,GETTYSBURG,PA,d16
ADAMS COUNTY DET CENTER,Adams County,NATCHEZ,MS,d17
ADAMS COUNTY JAIL,Adams County,BRIGHTON,CO,d18
ADAMS COUNTY JAIL,Adams County,CORNING,IA,d19
ADAMS COUNTY JAIL,Adams County,COUNCIL,ID,d20
ADAMS COUNTY JAIL,Adams County,DECATUR,IN,d21
ADAMS COUNTY JAIL,Adams County,QUINCY,IL,d22
ADAMS COUNTY JAIL,Adams County,WEST UNION,OH,d23
ADAMS COUNTY JUVENILE,Adams County,BRIGHTON,CO,d24
ADAMS COUNTY SHERIFF,Adams County,ADAMS,WI,d25
ADDISON COUNTY JAIL,Addison County,MIDDLEBURY,VT,d26
ADDISON POLICE DEPT.,Dallas County,ADDISON,TX,d27
ADDISON POLICE DEPT.,DuPage County,ADDISON,IL,d28
ADELANTO CORRECTIONAL FACILITY,San Bernardino County,ADELANTO,CA,d29
